,precision,recall,f1-score,support
0,0.735686274509804,0.938,0.8246153846153846,1000.0
1,0.9989572471324296,0.958,0.9780500255232261,1000.0
2,0.6913109756097561,0.907,0.7846020761245674,1000.0
3,0.8330373001776199,0.938,0.8824082784571966,1000.0
4,0.9174484052532833,0.489,0.6379647749510763,1000.0
5,0.9883966244725738,0.937,0.9620123203285421,1000.0
6,0.7258883248730964,0.572,0.639821029082774,1000.0
7,0.9417571569595261,0.954,0.9478390461997019,1000.0
8,0.9751243781094527,0.98,0.9775561097256857,1000.0
9,0.9365994236311239,0.975,0.9554140127388535,1000.0
accuracy,0.8648,0.8648,0.8648,0.8648
macro avg,0.8744206110728665,0.8648,0.8590283057747008,10000.0
weighted avg,0.8744206110728666,0.8648,0.8590283057747009,10000.0
